"name","artists","album","release_date"
"Bheemla Nayak Title Song                          ","""Thaman S                                         ","Sri Krishna                                       ",
"Ninnele                                           ","""Anurag Kulkarni                                  ","Shreya Ghoshal""                                   ",
"Oo Aadapilla                                      ","""Jay Krish                                        ","Ram Miriyala                                      ",
"Leharaayi                                         ","Sid Sriram                                        ","Most Eligible Bachelor                            ","2020-03-02"
"Saranga Dariya                                    ","Mangli                                            ","Love Story                                        ","2021-02-28"
"Bhale Bhale Banjara                               ","""Mani Sharma                                      ","Shankar Mahadevan                                 ",
"Naa Kanulu Yepudu                                 ","Sid Sriram                                        ","Rang De                                           ","2020-11-12"
"Priyathama Priyathama                             ","Chinmayi                                          ","Majili                                            ","2019-03-11"
"Jala Jala Jalapaatham Nuvvu                       ","""Jaspreet Jasz                                    "," Shreya Ghoshal""                                  ",
"Hey Idi Nenena                                    ","""Thaman S                                         ","Sid Sriram""                                       ",
"Nuvvu Naatho Emannavo                             ","S. P. Balasubrahmanyam                            ","Disco Raja (Original Motion Picture Soundtrack)   ","2019-10-19"
"Tharagathi Gadhi                                  ","Kala Bhairava                                     ","Colour Photo                                      ","2020-08-27"
"Singles Anthem - Telugu                           ","""Anurag Kulkarni                                  ","Mahati Swara Sagar""                               ",
"Bullet                                            ","Mangli                                            ","George Reddy (Original Motion Picture Soundtrack) ","2019-11-22"
"Kadalalle                                         ","""Sid Sriram                                       ","Aishwarya Ravichandran""                           ",
"""Psycho Saiyaan (From """"Saaho"""")""                 ","""Anirudh Ravichander                              ","Dhvani Bhanushali                                 ",
"He’S Soo Cute                                     ","Madhu Priya                                       ","Sarileru Neekevvaru                               ","2020-01-06"
"Emai Poyave                                       ","Sid Sriram                                        ","Padi Padi Leche Manasu                            ","2018-12-10"
"Nee Neeli Kannullona                              ","Gowtham Bharadwaj                                 ","Dear Comrade                                      ","2019-07-23"
"Guruvaram                                         ","Vijay Prakash                                     ","Kirrak Party                                      ","2018-03-10"
"Mandaara                                          ","Shreya Ghoshal                                    ","Bhaagamathie                                      ","2018-01-01"
"Baitikochi Chuste                                 ","Anirudh Ravichander                               ","Agnyaathavaasi                                    ","2017-11-07"
"Undiporaadhey                                     ","Sid Sriram                                        ","Hushaaru                                          ","2018-10-01"
"Name                                              ","Artists                                           ","Album                                             ",
"""My Dear Markandeya (From """"BRO"""")""               ","""L. V. Revanth                                    ","Snigdha Sharma""                                   ",
"""Aradhya (From """"Kushi"""") (Telugu)""               ","""Hesham Abdul Wahab                               ","Chinmayi""                                         ",
"Jam Jam Jajjanaka                                 ","""Mahati Swara Sagar                               ","Anurag Kulkarni                                   ",
